t,meter_12,meter_4
2015-07-01 04:06:00,7541.9,40176.7
2015-07-01 04:07:00,7655.43,48210.1
2015-07-01 04:08:00,7786.39,36985.6
2015-07-01 04:09:00,17606.9,27520.6
2015-07-01 04:10:00,17606.1,22796.4
2015-07-01 04:11:00,11049.4,22469.3
2015-07-01 04:12:00,11055.1,28900.0
2015-07-01 04:13:00,11032.3,28320.9
2015-07-01 04:14:00,11048.8,28272.1
2015-07-01 04:15:00,11154.3,25391.3
2015-07-01 04:16:00,11271.3,37822.2
2015-07-01 04:17:00,11292.6,28396.7
2015-07-01 04:18:00,11365.4,15781.5
2015-07-01 04:19:00,1411.69,20414.9
2015-07-01 04:20:00,1361.58,7309.49
2015-07-01 04:21:00,1339.59,7258.23
2015-07-01 04:22:00,9987.66,2852.72
2015-07-01 04:23:00,16543.5,2717.45
2015-07-01 04:24:00,16576.9,2877.63
2015-07-01 04:25:00,7935.67,2602.0
2015-07-01 04:26:00,7958.44,2765.02
2015-07-01 04:27:00,7936.65,2674.5
2015-07-01 04:28:00,8175.83,8270.02
2015-07-01 04:29:00,13788.7,14564.9
2015-07-01 04:30:00,13790.8,14680.3
2015-07-01 04:31:00,23565.8,18829.9
2015-07-01 04:32:00,18122.4,23677.6
2015-07-01 04:33:00,11425.3,32993.6
2015-07-01 04:34:00,11335.8,26508.4
2015-07-01 04:35:00,11286.0,28165.6
2015-07-01 04:36:00,11217.9,42117.7
2015-07-01 04:37:00,11157.9,42094.4
2015-07-01 04:38:00,11029.0,37324.6
2015-07-01 04:39:00,10902.9,37141.6
2015-07-01 04:40:00,20736.8,38361.1
2015-07-01 04:41:00,20732.0,35368.0
2015-07-01 04:42:00,20752.3,35261.4
2015-07-01 04:43:00,11095.6,34146.5
2015-07-01 04:44:00,11063.6,34238.2
2015-07-01 04:45:00,29431.6,36633.3
2015-07-01 04:46:00,35925.1,27043.9
2015-07-01 04:47:00,35768.2,26684.3
2015-07-01 04:48:00,27247.5,14366.1
2015-07-01 04:49:00,17443.3,23855.6
2015-07-01 04:50:00,17461.7,23987.2
2015-07-01 04:51:00,17449.3,23976.8
2015-07-01 04:52:00,17469.4,29458.9
2015-07-01 04:53:00,17463.1,29409.0
2015-07-01 04:54:00,7643.68,24275.2
2015-07-01 04:55:00,7687.15,24515.9
2015-07-01 04:56:00,1251.31,22819.0
2015-07-01 04:57:00,8057.5,16841.2
2015-07-01 04:58:00,8072.65,23353.9
2015-07-01 04:59:00,7755.9,13380.4
2015-07-01 05:00:00,7718.51,13352.2
2015-07-01 05:01:00,7699.11,8240.34
2015-07-01 05:02:00,7713.75,8192.52
2015-07-01 05:03:00,7730.16,1794.98
2015-07-01 05:04:00,7750.13,9730.65
2015-07-01 05:05:00,7746.55,9941.8
2015-07-01 05:06:00,7644.78,1788.46
2015-07-01 05:07:00,1080.11,11839.5
2015-07-01 05:08:00,6646.04,11912.2
2015-07-01 05:09:00,21866.4,11706.6
2015-07-01 05:10:00,16343.7,21972.5
2015-07-01 05:11:00,16254.8,32869.8
2015-07-01 05:12:00,7495.86,39342.7
2015-07-01 05:13:00,17306.2,39347.7
2015-07-01 05:14:00,17316.6,44097.3
2015-07-01 05:15:00,17303.0,43880.4
2015-07-01 05:16:00,17308.6,27884.1
2015-07-01 05:17:00,17180.5,26354.8
2015-07-01 05:18:00,17461.3,26827.1
2015-07-01 05:19:00,11963.6,41681.5
2015-07-01 05:20:00,11658.3,35426.1
2015-07-01 05:21:00,10938.1,21436.4
2015-07-01 05:22:00,20747.9,11490.0
2015-07-01 05:23:00,21218.9,2626.81
2015-07-01 05:24:00,21222.6,2634.55
2015-07-01 05:25:00,20788.1,6377.22
2015-07-01 05:26:00,20656.2,6146.26
2015-07-01 05:27:00,20628.6,12797.9
2015-07-01 05:28:00,20607.4,8029.42
2015-07-01 05:29:00,20603.2,8073.24
2015-07-01 05:30:00,20588.8,7946.75
2015-07-01 05:31:00,10755.0,7949.59
2015-07-01 05:32:00,11109.6,16130.0
2015-07-01 05:33:00,1700.58,16333.8
2015-07-01 05:34:00,8196.57,8456.59
2015-07-01 05:35:00,8412.79,8867.72
2015-07-01 05:36:00,8403.22,8845.71
2015-07-01 05:37:00,8422.66,9005.2
2015-07-01 05:38:00,8396.54,8875.01
2015-07-01 05:39:00,17025.3,13712.3
2015-07-01 05:40:00,17506.7,8098.47
2015-07-01 05:41:00,8998.65,7962.38
2015-07-01 05:42:00,8227.72,11849.1
2015-07-01 05:43:00,1428.39,17881.4
2015-07-01 05:44:00,1228.93,17700.4
2015-07-01 05:45:00,1362.35,18115.7
2015-07-01 05:46:00,1349.68,18098.1
2015-07-01 05:47:00,1631.22,21600.8
2015-07-01 05:48:00,1669.68,21620.8
2015-07-01 05:49:00,1762.36,26497.0
2015-07-01 05:50:00,1504.58,26348.7
2015-07-01 05:51:00,1577.55,16961.7
2015-07-01 05:52:00,1305.11,16889.0
2015-07-01 05:53:00,983.561,16476.6
2015-07-01 05:54:00,1033.56,15761.6
2015-07-01 05:55:00,999.016,15380.8
2015-07-01 05:56:00,728.583,4924.53
2015-07-01 05:57:00,800.505,9713.68
2015-07-01 05:58:00,625.011,11005.6
2015-07-01 05:59:00,765.848,20237.2
2015-07-01 06:00:00,7237.19,20108.3
2015-07-01 06:01:00,7327.06,19219.6
2015-07-01 06:02:00,7312.21,19688.2
2015-07-01 06:03:00,14120.8,19270.8
2015-07-01 06:04:00,13962.5,12448.1
